key,name,iata-code,website,airline-type,foundation-moment,email,phone-number
airline-14,Lorem ipsum dolor sit ame,AAA,http://example.org/a/b?a&b,STANDARD,2002/09/01 10:00,http://example.org/a/b?a&b,+1234567890
airline-15,Lorem ipsum dolor sit ame,AAB,http://example.org/a/b?a&b,STANDARD,2002/09/01 10:00,http://example.org/a/b?a&b,+1234567890
airline-16,Lorem ipsum dolor sit ame,AAC,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-17,Lorem ipsum dolor sit ame,AAD,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-18,Lorem ipsum dolor sit ame,AAE,https://www.lorem-ipsum.org,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-19,Lorem ipsum dolor sit ame,AAF,http://example.org/a/b?a&b,STANDARD,2002/09/01 10:00,http://example.org/a/b?a&b,+1234567890
airline-20,Lorem ipsum dolor sit ame,AAG,http://www.lorem-ipsum.org/dolor/sit.html,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
# airline-type variation
airline-21,Lorem ipsum dolor sit ame,AAI,http://lorem.com/ipsum,LOW_COST,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-22,Lorem ipsum dolor sit ame,AAJ,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-23,Lorem ipsum dolor sit ame,AAK,http://lorem.com/ipsum,LUXURY,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890
# foundation-moment variation
airline-24,Lorem ipsum dolor sit ame,AAL,http://lorem.com/ipsum,STANDARD,2000/01/01 0:00,acme@lorem-ipsum.org,+1234567890
airline-25,Lorem ipsum dolor sit ame,AAM,http://lorem.com/ipsum,STANDARD,2000/01/01 0:01,acme@lorem-ipsum.org,+1234567890
airline-26,Lorem ipsum dolor sit ame,AAN,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+1234567890
airline-27,Lorem ipsum dolor sit ame,AAO,http://lorem.com/ipsum,STANDARD,2024/12/31 23:59,acme@lorem-ipsum.org,+1234567890
airline-28,Lorem ipsum dolor sit ame,AAP,http://lorem.com/ipsum,STANDARD,2025/01/01 0:00,acme@lorem-ipsum.org,+1234567890
# email variation
airline-29,Lorem ipsum dolor sit ame,AAQ,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme:password@lorem-ipsum.org,+1234567890
airline-30,Lorem ipsum dolor sit ame,AAR,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,a@b.e,+1234567890
airline-31,Lorem ipsum dolor sit ame,AAS,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,a@b.es,+1234567890
airline-32,Lorem ipsum dolor sit ame,AAT,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,a@b.esx,+1234567890
# phone-number
airline-33,Lorem ipsum dolor sit ame,ABA,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+123456
airline-34,Lorem ipsum dolor sit ame,ABB,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567
airline-35,Lorem ipsum dolor sit ame,ABC,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+123456789012345
